tas,Year,Month,Country, C, ISO3, ISO2
23.8181,1950,11,CAF,,,
23.3523,1950,12,CAF,,,
25.0511,1951,1,CAF,,,
25.7266,1951,2,CAF,,,
27.4774,1951,3,CAF,,,
27.5653,1951,4,CAF,,,
26.4533,1951,5,CAF,,,
25.251,1951,6,CAF,,,
24.3528,1951,7,CAF,,,
23.9475,1951,8,CAF,,,
24.4278,1951,9,CAF,,,
24.7274,1951,10,CAF,,,
24.181,1951,11,CAF,,,
22.8292,1951,12,CAF,,,
25.9157,1952,1,CAF,,,
26.7219,1952,2,CAF,,,
27.7247,1952,3,CAF,,,
27.5921,1952,4,CAF,,,
26.5487,1952,5,CAF,,,
25.0259,1952,6,CAF,,,
24.1786,1952,7,CAF,,,
22.3961,1952,8,CAF,,,
24.3153,1952,9,CAF,,,
24.7818,1952,10,CAF,,,
24.365,1952,11,CAF,,,
24.8125,1952,12,CAF,,,
25.7803,1953,1,CAF,,,
26.6542,1953,2,CAF,,,
27.681,1953,3,CAF,,,
27.285,1953,4,CAF,,,
26.3834,1953,5,CAF,,,
24.7966,1953,6,CAF,,,
23.5713,1953,7,CAF,,,
22.6364,1953,8,CAF,,,
24.9843,1953,9,CAF,,,
24.4336,1953,10,CAF,,,
23.9568,1953,11,CAF,,,
22.5382,1953,12,CAF,,,
24.8153,1954,1,CAF,,,
26.7232,1954,2,CAF,,,
27.07,1954,3,CAF,,,
26.8421,1954,4,CAF,,,
25.9223,1954,5,CAF,,,
24.7777,1954,6,CAF,,,
23.4529,1954,7,CAF,,,
23.3472,1954,8,CAF,,,
23.9983,1954,9,CAF,,,
24.2558,1954,10,CAF,,,
24.7723,1954,11,CAF,,,
23.5724,1954,12,CAF,,,
24.7245,1955,1,CAF,,,
26.0849,1955,2,CAF,,,
26.6455,1955,3,CAF,,,
26.1998,1955,4,CAF,,,
25.7501,1955,5,CAF,,,
24.5659,1955,6,CAF,,,
23.2999,1955,7,CAF,,,
23.1158,1955,8,CAF,,,
23.9854,1955,9,CAF,,,
24.7388,1955,10,CAF,,,
24.3826,1955,11,CAF,,,
23.2437,1955,12,CAF,,,
23.4278,1956,1,CAF,,,
26.44,1956,2,CAF,,,
26.2906,1956,3,CAF,,,
26.6849,1956,4,CAF,,,
26.1148,1956,5,CAF,,,
24.603,1956,6,CAF,,,
23.5641,1956,7,CAF,,,
23.6964,1956,8,CAF,,,
24.221,1956,9,CAF,,,
24.3796,1956,10,CAF,,,
25.0948,1956,11,CAF,,,
24.1512,1956,12,CAF,,,
24.3737,1957,1,CAF,,,
25.0892,1957,2,CAF,,,
26.3699,1957,3,CAF,,,
26.6958,1957,4,CAF,,,
26.4776,1957,5,CAF,,,
25.1919,1957,6,CAF,,,
24.4766,1957,7,CAF,,,
24.2695,1957,8,CAF,,,
24.7981,1957,9,CAF,,,
25.0069,1957,10,CAF,,,
25.1963,1957,11,CAF,,,
24.4056,1957,12,CAF,,,
25.5753,1958,1,CAF,,,
25.3855,1958,2,CAF,,,
28.0522,1958,3,CAF,,,
27.5028,1958,4,CAF,,,
26.8092,1958,5,CAF,,,
24.9211,1958,6,CAF,,,
24.0603,1958,7,CAF,,,
24.3076,1958,8,CAF,,,
24.9074,1958,9,CAF,,,
25.1388,1958,10,CAF,,,
25.2646,1958,11,CAF,,,
24.9173,1958,12,CAF,,,
25.0034,1959,1,CAF,,,
25.6434,1959,2,CAF,,,
27.4797,1959,3,CAF,,,
27.4552,1959,4,CAF,,,
26.211,1959,5,CAF,,,
25.3539,1959,6,CAF,,,
24.1307,1959,7,CAF,,,
23.8026,1959,8,CAF,,,
24.4239,1959,9,CAF,,,
24.7587,1959,10,CAF,,,
24.9261,1959,11,CAF,,,
24.4848,1959,12,CAF,,,
24.7979,1960,1,CAF,,,
26.24,1960,2,CAF,,,
27.0782,1960,3,CAF,,,
26.7325,1960,4,CAF,,,
26.0715,1960,5,CAF,,,
25.0009,1960,6,CAF,,,
23.8417,1960,7,CAF,,,
24.5067,1960,8,CAF,,,
24.3957,1960,9,CAF,,,
24.7645,1960,10,CAF,,,
24.7204,1960,11,CAF,,,
25.8901,1960,12,CAF,,,
25.4539,1961,1,CAF,,,
25.4057,1961,2,CAF,,,
27.5495,1961,3,CAF,,,
26.7619,1961,4,CAF,,,
26.6742,1961,5,CAF,,,
24.9127,1961,6,CAF,,,
23.0412,1961,7,CAF,,,
23.5632,1961,8,CAF,,,
24.0476,1961,9,CAF,,,
24.8632,1961,10,CAF,,,
24.2059,1961,11,CAF,,,
22.8837,1961,12,CAF,,,
23.2199,1962,1,CAF,,,
26.4491,1962,2,CAF,,,
26.8029,1962,3,CAF,,,
26.6593,1962,4,CAF,,,
25.7929,1962,5,CAF,,,
24.3922,1962,6,CAF,,,
24.1673,1962,7,CAF,,,
23.5944,1962,8,CAF,,,
24.2365,1962,9,CAF,,,
24.739,1962,10,CAF,,,
25.2109,1962,11,CAF,,,
24.2254,1962,12,CAF,,,
24.6618,1963,1,CAF,,,
26.3772,1963,2,CAF,,,
26.76,1963,3,CAF,,,
26.4038,1963,4,CAF,,,
25.9488,1963,5,CAF,,,
25.0762,1963,6,CAF,,,
24.0616,1963,7,CAF,,,
24.0172,1963,8,CAF,,,
25.0355,1963,9,CAF,,,
25.0001,1963,10,CAF,,,
25.0159,1963,11,CAF,,,
24.0069,1963,12,CAF,,,
24.9185,1964,1,CAF,,,
26.3573,1964,2,CAF,,,
27.721,1964,3,CAF,,,
26.3594,1964,4,CAF,,,
26.3618,1964,5,CAF,,,
24.7206,1964,6,CAF,,,
23.7615,1964,7,CAF,,,
23.3408,1964,8,CAF,,,
23.903,1964,9,CAF,,,
24.0334,1964,10,CAF,,,
23.9117,1964,11,CAF,,,
23.3976,1964,12,CAF,,,
24.6225,1965,1,CAF,,,
25.8737,1965,2,CAF,,,
26.776,1965,3,CAF,,,
26.8313,1965,4,CAF,,,
25.9751,1965,5,CAF,,,
25.0259,1965,6,CAF,,,
24.2447,1965,7,CAF,,,
24.1234,1965,8,CAF,,,
24.2722,1965,9,CAF,,,
24.8996,1965,10,CAF,,,
24.7213,1965,11,CAF,,,
23.9219,1965,12,CAF,,,
25.4326,1966,1,CAF,,,
26.0067,1966,2,CAF,,,
27.0994,1966,3,CAF,,,
26.4707,1966,4,CAF,,,
26.0425,1966,5,CAF,,,
24.6214,1966,6,CAF,,,
24.4669,1966,7,CAF,,,
23.991,1966,8,CAF,,,
24.3203,1966,9,CAF,,,
24.6075,1966,10,CAF,,,
24.7632,1966,11,CAF,,,
23.2727,1966,12,CAF,,,
23.6392,1967,1,CAF,,,
25.3686,1967,2,CAF,,,
26.2383,1967,3,CAF,,,
26.1439,1967,4,CAF,,,
26.0863,1967,5,CAF,,,
24.0017,1967,6,CAF,,,
23.1874,1967,7,CAF,,,
23.5335,1967,8,CAF,,,
24.0756,1967,9,CAF,,,
24.1962,1967,10,CAF,,,
23.2606,1967,11,CAF,,,
23.8939,1967,12,CAF,,,
24.2303,1968,1,CAF,,,
25.8194,1968,2,CAF,,,
26.5279,1968,3,CAF,,,
26.4926,1968,4,CAF,,,
25.7602,1968,5,CAF,,,
24.3346,1968,6,CAF,,,
23.6337,1968,7,CAF,,,
24.2548,1968,8,CAF,,,
24.3115,1968,9,CAF,,,
24.7965,1968,10,CAF,,,
24.885,1968,11,CAF,,,
24.3624,1968,12,CAF,,,
23.9361,1969,1,CAF,,,
26.1481,1969,2,CAF,,,
26.901,1969,3,CAF,,,
